Point ID,Northing,Easting,Elevation_ussft,Elevation_m
RTCM0000,2204986.001,5978101.449,16.527,5.037439675
S2-0.5a,2234492.769,5993735.344,5.667,1.727305055
S2-0.5b,2234492.811,5993734.913,5.675,1.729743459
S2-0.5c,2234492.787,5993734.836,5.649,1.721818644
S2-0.5d,2234502.507,5993852.618,5.564,1.695910592
S1-0.5a,2234502.491,5993852.632,5.598,1.706273813
S1-0.5b,2234502.444,5993852.147,5.652,1.722733045
S1-0.5c,2234502.43,5993851.731,5.653,1.723037846
S1-2a,2234507.511,5993851.495,5.549,1.691338583
S1-2b,2234507.314,5993850.998,5.644,1.720294641
S1-2c,2234507.55,5993850.379,5.758,1.75504191
S1-6a,2234511.674,5993850.487,5.442,1.658724917
S1-6aredo,2234520.533,5993853.097,5.993,1.826670053
S1-6aredp,2234520.58,5993852.828,5.996,1.827584455
S1-6b,2234520.581,5993852.826,5.989,1.825450851
S1-6c,2234520.51,5993852.46,6.004,1.83002286
S1-12a,2234540.43,5993853.227,6.159,1.877266955
S1-12b,2234540.484,5993852.826,6.2,1.88976378
S1-12c,2234540.484,5993852.324,6.185,1.88519177
S1-18a,2234559.905,5993854.474,6.489,1.977851156
S1-18b,2234559.901,5993854.084,6.497,1.980289561
S1-18breal,2234559.894,5993854.081,6.523,1.988214376
S1-18c,2234559.905,5993853.634,6.535,1.991871984
S1-24a,2234579.207,5993855.209,6.48,1.97510795
S1-24b,2234579.088,5993854.814,6.512,1.98486157
S1-24c,2234579.007,5993854.492,6.48,1.97510795
S1-48a,2234657.97,5993858.584,6.605,2.013208026
S1-48b,2234658.124,5993858.194,6.614,2.015951232
S1-48c,2234658.11,5993857.73,6.609,2.014427229
S-ME-1,2234503.827,5993836.738,5.608,1.709321819
S-ME-2,2234504.375,5993830.261,5.393,1.643789688
S-ME-3,2234504.175,5993821.297,5.555,1.693167386
S-ME-4,2234502.83,5993816.063,5.486,1.672136144
S-ME-5,2234503.835,5993808.755,5.594,1.70505461
S-ME-6,2234503.011,5993795.431,5.534,1.686766574
S-ME-7,2234500.152,5993790.583,5.379,1.639522479
S-ME-8,2234500.44,5993780.905,5.42,1.652019304
S-ME-9,2234504.416,5993768.45,5.586,1.702616205
S-ME-10,2234504.428,5993768.447,5.559,1.694386589
S-ME-11,2234500.749,5993758.732,5.618,1.712369825
S-ME-12,2234500.951,5993743.711,5.868,1.788569977
S2-0.5breal,2234510.723,5993733.411,5.905,1.7998476
S2-0.5cbereal,2234510.622,5993732.936,5.923,1.805334011
S2-2a,2234497.77,5993735.041,5.709,1.74010668
S2-2b,2234497.619,5993734.437,5.748,1.751993904
S2-2c,2234497.583,5993734.161,5.743,1.750469901
S2-6a,2234510.741,5993733.79,5.984,1.823926848
S2-6b,2234510.785,5993733.391,5.95,1.813563627
S2-6c,2234510.657,5993732.925,5.933,1.808382017
S2-12a,2234530.539,5993732.008,6.232,1.899517399
S2-12b,2234530.505,5993731.659,6.205,1.891287783
S2-12c,2234530.447,5993731.189,6.18,1.883667767
S2-18a,2234549.877,5993730.299,6.456,1.967792736
S2-18b,2234550.133,5993729.781,6.456,1.967792736
S2-18c,2234550.088,5993729.234,6.435,1.961391923
S2-24a,2234569.826,5993728.593,6.562,2.0001016
S2-24b,2234569.868,5993728.207,6.555,1.997967996
S2-24c,2234569.895,5993727.828,6.534,1.991567183
S2-48a,2234647.93,5993721.445,6.607,2.013817628
S2-48b,2234647.904,5993721.132,6.637,2.022961646
S2-48c,2234648.035,5993720.695,6.629,2.020523241
s-bm-1,2243700.764,5996995.594,21.525,6.560833122
s-bm-1real,2243700.757,5996995.604,21.557,6.570586741
s-bm-2,2243700.781,5996995.61,21.555,6.56997714
s-bm-3,2243700.795,5996995.616,21.562,6.572110744
s-bm-4,2243700.795,5996995.616,21.51,6.556261113
