Official_ID,Point_ID,Northing,Easting,Elevation_ussft,Elevation_m,,,,,,
HPGN D CA 04 HG,BM-pre1,2188683.494,6026846.125,26.906,8.200965202,,,,,,
HPGN D CA 04 HG,BM-pre2,2188683.478,6026846.124,26.977,8.222606045,,,,,,
HPGN D CA 04 HG,BM-pre3,2188683.48,6026846.123,26.95,8.214376429,,,,,,
,XSA-1,2188638.407,6025878.224,3.096,0.943662687,,,,,,
,XSA-2,2188639.434,6025883.684,3.368,1.026568453,,,,,,
,XSA-3,2188639.951,6025886.607,3.513,1.070764542,,,,,,
,XSA-4,2188639.94,6025886.901,3.698,1.127152654,,,,,,
,XSA-5,2188640.015,6025887.099,3.778,1.151536703,,,,,,
,XSA-6,2188639.971,6025887.469,4.085,1.24511049,,,,,,
,XSA-7,2188639.94,6025887.894,4.213,1.284124968,,,,,,
,XSA-8,2188639.95,6025888.267,4.326,1.318567437,,,,,,
,XSA-9,2188640.048,6025888.841,4.41,1.344170688,,,,,,
,XSA-10,2188640.24,6025889.804,4.722,1.439268479,,,,,,
,XSA-11,2188640.143,6025890.06,4.893,1.491389383,,,,,,
,XSA-12,2188640.152,6025890.051,4.88,1.487426975,,,,,,
,XSA-13,2188640.484,6025890.507,5.33,1.624587249,,,,,,
,XSA-14,2188640.606,6025891.155,6.561,1.9997968,,,,,,
,XSA-15,2188640.788,6025891.846,6.682,2.036677673,,,,,,
,XSA-16,2188641.143,6025893.937,6.66,2.02997206,,,,,,
,XSA-17-pin,2188641.564,6025895.941,6.806,2.074472949,,,,,,
,XSA-18,2188642.213,6025900.964,6.73,2.051308103,,,,,,
,XSA-19,2188642.752,6025905.563,6.554,1.997663195,,,,,,
,XSA-20,2188643.741,6025912.4,6.497,1.980289561,,,,,,
,XSA-21,2188644.836,6025920.565,6.349,1.93517907,,,,,,
,XSA-22,2188645.867,6025927.33,6.328,1.928778258,,,,,,
,XSA-23,2188646.559,6025935.804,6.228,1.898298197,,,,,,
,XSA-24,2188646.053,6025944.633,6.274,1.912319025,,,,,,
,XSA-25,2188646.718,6025955.534,6.389,1.947371095,,,,,,
,XSA-26,2188647.294,6025963.761,6.322,1.926949454,,,,,,
,XSA-27,2188648.012,6025972.018,6.338,1.931826264,,,,,,
,XSA-28,2188648.207,6025978.415,6.111,1.862636525,,,,,,
,XSA-29,2188649.735,6025987.151,6.191,1.887020574,,,,,,
,XSA-30,2188650.446,6025994.027,6.148,1.873914148,,,,,,
,XSA-31,2188650.751,6025999.442,6.031,1.838252476,,,,,,
,XSA-32,2188651.222,6026006.485,6.082,1.853797308,,,,,,
,XSA-33,2188651.751,6026015.172,5.984,1.823926848,,,,,,
,XSA-34,2188652.162,6026022.855,6.161,1.877876556,,,,,,
,XSA-35,2188652.827,6026029.437,6.157,1.876657353,,,,,,
,XSA-36,2188652.817,6026036.521,6.301,1.920548641,,,,,,
,XSA-37,2188653.066,6026039.016,6.36,1.938531877,,,,,,
,XSB-1,2188545.383,6025895.967,3.723,1.13477267,,,,,,
,XSB-2,2188545.741,6025899.976,4.023,1.226212852,,,,,,
,XSB-3,2188545.906,6025903.962,4.496,1.370383541,,,,,,
,XSB-4,2188545.898,6025905.291,4.553,1.387757176,,,,,,
,XSB-5,2188545.977,6025905.76,4.668,1.422809246,,,,,,
,XSB-6,2188546.153,6025906.739,5.61,1.70993142,,,,,,
,XSB-7,2188546.099,6025907.237,5.778,1.761137922,,,,,,
,XSB-8,2188546.154,6025907.689,6.274,1.912319025,,,,,,
,XSB-9,2188545.994,6025908.632,6.436,1.961696723,,,,,,
,XSB-10,2188545.615,6025909.572,6.687,2.038201676,,,,,,
,XSB-11,2188545.629,6025910.041,6.866,2.092760986,,,,,,
,XSB-12-pin,2188548.486,6025912.106,6.703,2.043078486,,,,,,
,XSB-13,2188546.451,6025916.789,6.745,2.055880112,,,,,,
,XSB-14,2188546.954,6025922.546,6.627,2.01991364,,,,,,
,XSB-15,2188547.813,6025929.039,6.461,1.969316739,,,,,,
,XSB-16,2188548.476,6025936.012,6.366,1.940360681,,,,,,
,XSB-17,2188548.216,6025943.974,6.273,1.912014224,,,,,,
,XSB-18,2188548.159,6025950.062,6.383,1.945542291,,,,,,
,XSB-19,2188547.525,6025958.11,6.375,1.943103886,,,,,,
,XSB-20,2188546.953,6025967.439,6.327,1.928473457,,,,,,
,XSB-21,2188546.218,6025975.242,6.396,1.949504699,,,,,,
,XSB-22,2188544.989,6025983.433,6.373,1.942494285,,,,,,
,XSB-23,2188543.515,6025993.909,6.364,1.939751079,,,,,,
,XSB-24,2188542.547,6026003.781,6.343,1.933350267,,,,,,
,XSB-25,2188541.58,6026012.418,6.272,1.911709423,,,,,,
,XSB-26,2188541.007,6026021.006,6.389,1.947371095,,,,,,
,XSB-27,2188540.825,6026029.731,6.193,1.887630175,,,,,,
,XSC-1,2188369.511,6025869.868,2.747,0.837287275,,,,,,
,XSC-2,2188368.218,6025873.549,2.862,0.872339345,,,,,,
,XSC-3,2188367.152,6025876.816,3.088,0.941224282,,,,,,
,XSC-4,2188366.661,6025878.241,3.132,0.954635509,,,,,,
,XSC-5,2188366.431,6025879.111,3.249,0.990297181,,,,,,
,XSC-6,2188366.156,6025879.564,3.471,1.057962916,,,,,,
,XSC-7,2188365.926,6025880.243,3.736,1.138735077,,,,,,
,XSC-8,2188365.749,6025880.919,4.019,1.22499365,,,,,,
,XSC-9,2188365.68,6025881.434,4.116,1.254559309,,,,,,
,XSC-10,2188365.536,6025882.367,4.532,1.381356363,,,,,,
,XSC-11,2188365.561,6025882.332,4.503,1.372517145,,,,,,
,XSC-12,2188365.533,6025882.824,5.745,1.751079502,,,,,,
,XSC-13,2188365.37,6025883.511,6.779,2.066243332,,,,,,
,XSC-14,2188365.19,6025884.129,6.886,2.098856998,,,,,,
,XSC-15,2188364.53,6025886.27,6.921,2.109525019,,,,,,
,XSC-16pin,2188363.608,6025889.928,6.838,2.084226568,,,,,,
,XSC-17,2188362.974,6025895.157,6.868,2.093370587,,,,,,
,XSC-18,2188362.636,6025901.096,6.751,2.057708915,,,,,,
,XSC-19,2188362.944,6025909.818,6.656,2.028752857,,,,,,
,XSC-20,2188363.237,6025919.167,6.592,2.009245618,,,,,,
,XSC-21,2188362.741,6025927.564,6.529,1.99004318,,,,,,
,XSC-22,2188362.504,6025936.445,6.562,2.0001016,,,,,,
,XSC-23,2188361.392,6025946.908,6.556,1.998272797,,,,,,
,XSC-24,2188360.132,6025954.781,6.402,1.951333503,,,,,,
,XSC-25,2188360.832,6025958.583,6.446,1.964744729,,,,,,
,XSC-26,2188361.089,6025959.671,6.462,1.969621539,,,,,,
,XSC-27,2188361.73,6025963.631,6.51,1.984251968,,,,,,
,XSC-28,2188362.443,6025969.256,6.489,1.977851156,,,,,,
,XSC-29,2188363.153,6025978.033,6.476,1.973888748,,,,,,
,XSC-30,2188364.526,6025985.707,6.461,1.969316739,,,,,,
,XSC-31,2188364.674,6025993.107,6.566,2.001320803,,,,,,
,XSC-32,2188364.128,6026001.317,6.494,1.979375159,,,,,,
,XSC-33,2188364.627,6026008.224,6.472,1.972669545,,,,,,
,XSC-34,2188363.975,6026014.472,6.541,1.993700787,,,,,,
,XSC-35,2188363.648,6026021.363,6.533,1.991262383,,,,,,
,XSC-36,2188362.898,6026025.569,6.688,2.038506477,,,,,,
,XSC-37,2188362.751,6026030.632,6.921,2.109525019,,,,,,
,XSC-38,2188362.686,6026037.145,7.043,2.146710693,,,,,,
,XSC-39,2188362.744,6026042.639,7.126,2.172009144,,,,,,
,XSC-40,2188362.363,6026048.149,6.791,2.06990094,,,,,,
,XSC-41,2188361.138,6026055.945,7.171,2.185725171,,,,,,
,XSC-42,2188361.181,6026059.287,6.724,2.049479299,,,,,,
,XSC-43,2188360.671,6026063.593,6.664,2.031191262,,,,,,
,XSC-44,2188359.86,6026072.272,6.693,2.04003048,,,,,,
,XSC-45,2188359.861,6026074.484,6.646,2.025704851,,,,,,
,XSD-1,2188290.63,6025851.548,2.747,0.837287275,,,,,,
,XSD-2,2188289.55,6025855.224,2.804,0.854660909,,,,,,
,XSD-3,2188289.067,6025857.767,2.789,0.8500889,,,,,,
,XSD-4,2188288.712,6025859.857,3.458,1.054000508,,,,,,
,XSD-5,2188288.524,6025861.169,3.843,1.171348743,,,,,,
,XSD-6,2188288.407,6025862.317,4.295,1.309118618,,,,,,
,XSD-7,2188288.395,6025862.979,4.55,1.386842774,,,,,,
,XSD-8,2188288.337,6025863.241,4.846,1.477063754,,,,,,
,XSD-9,2188288.413,6025863.055,6.234,1.900127,,,,,,
,XSD-10,2188287.794,6025863.455,6.972,2.12506985,,,,,,
,XSD-11,2188287.658,6025865.192,7.023,2.140614681,,,,,,
,XSD-12,2188287.126,6025868.295,7.042,2.146405893,,,,,,
,XSD-13pin,2188286.742,6025870.822,6.974,2.125679451,,,,,,
,XSD-13,2188285.33,6025876.468,6.74,2.054356109,,,,,,
,XSD-14,2188284.726,6025883.763,6.788,2.068986538,,,,,,
,XSD-15,2188284.884,6025888.387,6.747,2.056489713,,,,,,
,XSD-16,2188284.2,6025894.7,6.588,2.008026416,,,,,,
,XSD-17,2188283.961,6025900.392,6.567,2.001625603,,,,,,
,XSD-18,2188283.31,6025906.866,6.572,2.003149606,,,,,,
,XSD-19,2188283.118,6025915.133,6.574,2.003759208,,,,,,
,XSD-20,2188282.172,6025922.004,6.5,1.981203962,,,,,,
,XSD-21,2188282.257,6025930.339,6.474,1.973279147,,,,,,
,XSD-22,2188281.053,6025939.066,6.525,1.988823978,,,,,,
,XSD-23,2188278.868,6025946.573,6.521,1.987604775,,,,,,
,XSD-24,2188278.029,6025955.861,6.652,2.027533655,,,,,,
,XSD-25,2188277.818,6025964.104,6.556,1.998272797,,,,,,
,XSD-26,2188278.954,6025972.656,6.563,2.000406401,,,,,,
,XSD-27,2188279.012,6025973.161,6.581,2.005892812,,,,,,
,XSD-28,2188279.012,6025973.642,6.649,2.026619253,,,,,,
,XSD-29,2188278.414,6025977.822,6.633,2.021742443,,,,,,
,XSD-30,2188277.741,6025983.768,6.557,1.998577597,,,,,,
,XSD-31,2188277.071,6025989.495,6.524,1.988519177,,,,,,
,XSD-32,2188276.508,6025992.158,6.545,1.99491999,,,,,,
,XSD-33,2188276.424,6025995.561,6.484,1.976327153,,,,,,
,XSD-34,2188276.193,6025999.559,6.669,2.032715265,,,,,,
,XSD-35,2188275.806,6026002.701,6.43,1.95986792,,,,,,
,XSD-36,2188275.588,6026004.191,6.527,1.989433579,,,,,,
,XSD-37,2188274.773,6026009.066,6.466,1.970840742,,,,,,
,XSD-38,2188274.112,6026013.836,6.547,1.995529591,,,,,,
,XSD-39,2188273.347,6026019.845,6.549,1.996139192,,,,,,
,XSD-40,2188272.654,6026025.543,6.515,1.985775972,,,,,,
,XSD-41,2188272.875,6026027.763,6.607,2.013817628,,,,,,
,XSD-42,2188272.938,6026033.266,6.578,2.00497841,,,,,,
,XSD-43,2188272.617,6026035.541,6.542,1.994005588,,,,,,
,XSD-44,2188272.07,6026040.264,6.539,1.993091186,,,,,,
,XSD-45,2188271.439,6026043.726,6.669,2.032715265,,,,,,
,XSD-46,2188270.946,6026045.291,6.681,2.036372873,,,,,,
,XSD-47,2188270.707,6026048.429,6.795,2.071120142,,,,,,
HPGN D CA 04 HG,BM-post1,2188683.454,6026846.114,26.938,8.210718821,,,,,,
HPGN D CA 04 HG,BM-post2,2188683.454,6026846.116,26.932,8.208890018,,,,,,
HPGN D CA 04 HG,BM-post3,2188683.443,6026846.135,26.94,8.211328423,,,,,,
HPGN D CA 04 HG,BM-post4,2188683.432,6026846.128,26.926,8.207061214,,,,,,
